땀이 많이 나요.	I sweat a lot.	땀이
원하면 먹을 수 있어요.	If you want, you can eat.	원하면
여러가지 음식을 먹어 봤어요.	I tried various foods.	여러가지
사회생활은 어렵습니다.	Social life is difficult.	사회생활은
식탁에 물이 있어요.	There is water on the table.	식탁에
40여 권의 책을 읽었어요.	I read about 40 books.	40여 권의
일부 사람들은 커피를 좋아해요.	Some people like coffee.	일부
그는 공부를 위해 필요해요.	He needs it for studying.	물질을
성추행은 범죄입니다.	Sexual harassment is a crime.	성추행
엉뚱이처럼 행동하지 마세요.	Don't act like a goofball.	엉뚱이
서서 허리를 펴요.	Stand up and straighten your back.	펴
나는 나무를 둘러싸고 있어요.	I am surrounded by trees.	둘러싸고
미국가재를 잡았어요.	I caught an American crayfish.	미국가재
양서류는 습지에서 살아요.	Amphibians live in wetlands.	양서류
제가 책을 몇 개 가지고 있어요?	How many books do I have?	개수를
내리막길에서 조심하세요.	Be careful on the downhill.	내리막길에서
취약계층에게 도움을 주세요.	Please help the vulnerable.	취약계층
저녁 무렵까지도 공부를 했어요.	I studied until evening.	무렵까지도
이 책을 바탕으로 공부해요.	I study based on this book.	바탕으로
야생동물을 보호해야 해요.	We need to protect wildlife.	야생동물
표지에 뭐라고 써 있어요?	What does it say on the cover?	표지에
사소한 일도 중요해요.	Even small things are important.	사소한
이 카페는 유독 붐비네요.	This cafe is unusually crowded.	유독
제가 필요한 물건을 공급해요.	I supply the items you need.	공급하는
이 과정을 다시 시작해요.	Let's start this process again.	과정을
규칙적인 운동이 필요해요.	Regular exercise is necessary.	규칙적인
이 책은 너무나도 재미있어요.	This book is so interesting.	너무나도
분석한 후에 답변을 줄게요.	I will answer after analyzing.	분석한
제가 지갑을 집에 빠트리고 왔어요.	I left my wallet at home.	빠트리고
우리는 같은 시기에 도착했어요.	We arrived at the same time.	시기에
원격으로 회의를 진행해요.	We conduct the meeting remotely.	원격
우리가 도서관에서 마주칠 거예요.	We will meet at the library.	마주칠
제가 출판사에서 일해요.	I work at a publishing company.	출판사에서
이 노트북은 고성능이에요.	This laptop is high-performance.	고성능
커피가 온기로 가득 차 있어요.	The coffee is full of warmth.	온기로
그는 기쁨으로 이름을 외쳤어요.	He shouted his name with joy.	외치고
그러면서 저는 책을 읽었어요.	While doing so, I read a book.	그러면서
이건 다름 아닌 내 가방이에요.	This is none other than my bag.	다름
운영진이 회의를 준비했어요.	The staff prepared the meeting.	운영진이
인근 카페에서 커피를 마셔요.	I drink coffee at a nearby cafe.	인근
저는 세 아이를 낳았어요.	I gave birth to three children.	낳아 기르고
배운 것에 감사해요.	I'm thankful for what I've learned.	배운 것에
저는 책을 통해서 많이 배웠어요.	I learned a lot through books.	통해서
저는 친구가 되기 위해 노력했어요.	I tried to become a friend.	되기 위해
저는 이번 프로젝트를 맡았어요.	I took charge of this project.	맡았어요
이것은 사례로 사용될 수 있어요.	This can be used as an example.	사례
상당수가 학교에 가요.	A considerable number go to school.	상당수가
가구에 책이 많아요.	There are many books in the furniture.	가구에
나는 허리를 굽혀 책을 줍습니다.	I bend down to pick up the book.	굽혀
이 사진을 노출해도 괜찮아요?	Is it okay to expose this picture?	노출
단체들은 회의를 개최했어요.	The organizations held a meeting.	단체들은
반복되는 일정이 지루해요.	The repetitive schedule is boring.	반복되는
이메일 수신동의 하셨나요?	Did you consent to receive emails?	수신동의
책을 쓸려고 연필을 샀어요.	I bought a pencil to write a book.	쓸려고
언덕이 많은 곳에서 살아요.	I live in a place with many hills.	언덕이
이틀 연속인데,	It's been raining for two days in a row,	연속인데
유의하세요, 길이 미끄럽습니다.	Be careful, the road is slippery.	유의
기본정보를 확인해주세요.	Please check the basic information.	기본정보를
저는 책을 나르고 학교에 갔어요.	I went to school carrying books.	나르고
벨기에와 프랑스는 이웃입니다.	Belgium and France are neighbors.	벨기에와
산불은 생태계를 파괴해요.	Forest fires destroy the ecosystem.	생태계를
숨겨진 문제를 찾아야 해요.	We need to find the hidden problem.	숨겨진
영산강에서 물고기를 잡아요.	I catch fish in the Yeongsan River.	영산강
올해는 예년만큼 덥지 않아요.	This year is not as hot as usual.	예년만큼
친구가 사장에게 속았습니다.	My friend was tricked by the boss.	당했습니다
우리는 이 문제를 떠안아야 해요.	We have to embrace this problem.	떠안아야
그녀의 목소리에서 행복을 느꼈어요.	I felt happiness in her voice.	목소리에서
석탄으로 만든 연탄이 필요해요.	I need briquettes made from coal.	석탄으로
그 일은 친구를 돕기 위함이었다.	That task was to help a friend.	위함이었다
우리 집은 공원에 인접해 있어요.	My house is adjacent to the park.	인접해
이 책을 읽는 데에도 시간이 걸려요.	It takes time to read this book.	데에도
제가 메시지를 전달해드려요.	I will deliver the message for you.	전달해주는
난방과 조명을 켜 주세요.	Please turn on the heating and lights.	난방과
이 차는 전기를 연료로 사용해요.	This car uses electricity as fuel.	연료로
성취도 평가가 중요해요.	Achievement evaluation is important.	성취도 평가가
코로나19의 여파가 크네요.	The impact of COVID-19 is significant.	여파가
칠 때가 되면 알려줘요.	Let me know when it's time to paint.	칠 때가 되면
흡연하면 과태료를 내야 돼요.	If you smoke, you have to pay a fine.	과태료
우리는 모의 실험을 진행해야 해요.	We need to conduct a simulation.	모의 실험
사내에서 회의를 하겠어요.	We will have a meeting in the company.	사내에서
검게 변한 장갑을 착용하세요.	Please wear the blackened gloves.	검게 변한 장갑
비교문학을 공부하고 있어요.	I am studying comparative literature.	비교문학을
메뚜기 떼나가 도시를 공격했어요.	A swarm of locusts attacked the city.	떼나
새 앨범이 내일 발매됩니다.	The new album will be released tomorrow.	발매
새로운 앨범이 어제 발매됐어요.	The new album was released yesterday.	발매된
이런 상황은 어떻게 해결해야 할까요?	How should we solve this situation?	상황
식탐으로 많은 음식을 먹었어요.	I ate a lot of food out of gluttony.	식탐으로
슈테팡 5중주는 은하군이에요.	Stephan's Quintet is a galaxy group.	은하군이다
선생님이 어찌할 바를 모르게 했어요.	The teacher didn't know what to do.	어찌할
책상 가운데에 펜이 있어요.	There is a pen in the middle of the desk.	가운데
이 가파른 산길을 올라가요.	I'm climbing up this steep mountain path.	가파른
식탐과 이기심은 문제를 일으킵니다.	Greed and selfishness cause problems.	식탐과
운영진들의 회의가 곧 시작될 거예요.	The staff meeting will start soon.	운영진들의
오늘의 운동은 정말 힘들만도 했어요.	Today's workout was really tough.	힘들만도 했다
양서류 개체수가 줄어들고 있어요.	The number of amphibians is decreasing.	개체수
당초는 비가 올 줄 알았어요.	At first, I thought it was going to rain.	당초는
대정부에 대해 어떻게 생각하세요?	What do you think about the government?	대정부
뚫린 문을 통해 바람이 들어왔어요.	The wind came in through the open door.	뚫린
저는 공부를 마치고 집에 갔어요.	I went home after finishing my studies.	마치고
생태계가 균형을 유지해야 해요.	The ecosystem needs to maintain balance.	생태계
슈테팡이 연주하는 음악을 들어요.	Listen to the music played by Schubert.	슈테팡
무조건 숙제를 해야 해요.	You have to do your homework no matter what.	무조건
나는 오늘의 성취에 뿌듯함을 느꼈어요.	I felt proud of today's achievement.	뿌듯함을
우리는 규칙을 엄격하게 따라야 해요.	We have to strictly follow the rules.	엄격하게
오늘날에는 휴대폰이 필수품이에요.	Nowadays, mobile phones are essential.	오늘날에는
오르막길과 내리막길은 다르게 느껴져요.	Uphill and downhill feel different.	오르막길과
제가 동행한 친구가 공원에 왔어요.	The friend I came with came to the park.	동행한
이것은 한 달 동안 사용할 수 있는 분량입니다.	This is enough to use for a month.	분량
그는 웃음꽃을 피우며 노래를 불렀어요.	He sang a song with a blooming smile.	웃음꽃을
우리는 동남아시아에서 과일을 수입해요.	We import fruits from Southeast Asia.	수입하는
방에 쌓인 책들을 정리해요.	I'm organizing the books piled up in the room.	쌓인
책을 열면은 무슨 이야기가 시작되요.	When you open a book, a story begins.	책을 열면은
실무에서는 어려움이 많아요.	There are many difficulties in practical work.	실무
학위를 취득한 후 책을 썼어요.	I wrote a book after earning a degree.	학위를 취득한 후
문제가 생길 걱정은 없어요.	You don't have to worry about problems arising.	생길
친구가 맞아주셔서 기분이 좋아요.	I feel good because my friend welcomed me.	맞아주셔서
개체수의 증가는 문제가 돼요.	The increase in population becomes a problem.	개체수의
기부금을 모아서 학교를 지었습니다.	We collected donations and built a school.	기부금을
이 영화의 늬앙스가 정말 독특해요.	The nuance of this movie is really unique.	늬앙스가
개발자가 코드를 배포하는 것을 보았어요.	I saw the developer deploying the code.	배포하는
그는 서울에 정착해서 살고 있어요.	He is living in Seoul after settling there.	정착해서
퀄리티가 떨어지니까 고쳐봐요.	Try fixing it because the quality is dropping.	떨어지니
이기심에 친구를 배신하지 마세요.	Don't betray your friend out of selfishness.	이기심에
요리도 나름이라는 거예요.	Cooking is also a matter of personal preference.	나름이라는
이 음식은 맛있기로 불리기도 해요.	This food is also known for being delicious.	불리기도
의지력이 강한 친구를 찾아요.	I'm looking for a friend with strong willpower.	의지력이
난생 처음 케이크를 만들어 봤어요.	I made a cake for the first time in my life.	난생 처음
이 소재의 가치를 알아야 해요.	We need to understand the value of this material.	소재의
소피는 감각이 뛰어난 디자이너예요.	Sophie is a designer with exceptional sense.	감각이 뛰어난
조금은 봐야겠다고 생각했어요.	I thought I should take a look at it a little.	조금은 봐야겠다
이 단체인은 봉사활동을 많이 합니다.	This organization does a lot of volunteer work.	단체인
멸종 위기에 처한 동물들이 있어요.	There are animals that are at risk of extinction.	멸종
국비 학원에 신청할 거예요.	I'm going to apply to the government-funded academy.	신청할
수년이 지나도 친구를 잊지 않아요.	Even after many years, I don't forget my friends.	수년이
생태교란종이 우리 마을에 나타났어요.	An invasive species has appeared in our village.	생태교란종
난생 처음으로 김치를 만들어 봤어요.	I tried making kimchi for the first time in my life.	난생
엄마가 저녁 메뉴를 바꿨다고 보도했어요.	Mom announced that she changed the dinner menu.	보도했어요
책을 쓰시다가 피곤하시면 쉬세요.	If you get tired while writing a book, take a break.	쓰시다가
이 식당의 음식은 정말 유별나요.	The food at this restaurant is really extraordinary.	유별나요
과도한 커피는 건강에 좋지 않아요.	Drinking too much coffee is not good for your health.	과도한
이 문장은 단어로 이해하기 쉽습니다.	This sentence is easy to understand in terms of words.	단어로
2022년 기준으로 학교는 10월에 시작해요.	Based on the 2022 standard, school starts in October.	기준으로
친구가 힘들 때면 격려하기도 해요.	When a friend is having a hard time, I also encourage them.	격려하기도
산악회에서 만난 친구들이랑 산에 갔어요.	I went to the mountain with friends I met in the mountaineering club.	산악회
우리는 사랑의연탄나눔운동과 연계한 활동을 했어요.	We did activities in conjunction with the Love Briquette Sharing Movement.	연계한
복지재단인 ‘밥상공동체연탄은행’은 연탄을 돕습니다.	The welfare foundation 'Rice Table Community Briquette Bank' helps with briquettes.	복지재단인
